"year","est","lwr","upr","log_est","se","type","region"
2008,511806774.795333,457536955.603851,572513698.660009,20.0534577187953,0.0571895723521941,"index","Both"
2009,750317628.513898,680222333.60744,827636076.976588,20.436007179527,0.0500401621759245,"index","Both"
2010,774288811.773945,699556800.493564,857004268.438704,20.4674555037807,0.0517856216975498,"index","Both"
2011,863630604.057202,781644112.723391,954216641.72139,20.5766556937459,0.0508915461871694,"index","Both"
2012,1064125086.28854,939721569.515877,1204997560.98176,20.7854187832572,0.0634320821856416,"index","Both"
2013,749387073.643432,667849726.996279,840879262.868958,20.4347661952339,0.0587727374253657,"index","Both"
2014,1286402484.33103,1118315879.73915,1479753065.90391,20.9751153876146,0.0714429841209121,"index","Both"
2015,1097718068.41894,958794373.870835,1256770993.41818,20.8164993787744,0.0690380982612306,"index","Both"
2016,940386286.724506,783015282.64118,1129385834.30529,20.6618012921382,0.0934397375451274,"index","Both"
2017,529129473.454489,480971165.944723,582109738.591692,20.0867437112076,0.0486875431119977,"index","Both"
2018,529421033.638614,464642126.375099,603231207.307077,20.0872945780572,0.0665912907297426,"index","Both"
2019,768073441.394207,690356763.869816,854539047.416922,20.4593959133554,0.0544279605025265,"index","Both"
2021,610934356.478341,546618345.456697,682817894.839886,20.2305000751585,0.0567554721850293,"index","Both"
2022,544667925.710823,494480419.429326,599949234.876693,20.1156868563,0.0493216944416137,"index","Both"
2023,634965170.352052,575560306.650106,700501342.607895,20.2690807055134,0.0501162958315425,"index","Both"
2024,501946109.922013,449389192.297918,560649658.656707,20.0340033211405,0.0564313700496333,"index","Both"
2025,606996115.787471,547922254.935563,672438984.294235,20.2240329499711,0.0522402383342697,"index","Both"
1982,645026308.713243,583195332.386641,713412669.524585,20.2848016626309,0.0514136628281604,"index","EBS"
1983,786886292.272307,703904420.964398,879650728.884077,20.4835943134428,0.056858786738996,"index","EBS"
1984,673970158.610183,609866000.735938,744812424.612783,20.3286963928373,0.0509940863964614,"index","EBS"
1985,845392367.841963,771693944.667363,926129148.147592,20.5553114181901,0.0465380151150097,"index","EBS"
1986,854392118.221778,776128884.228145,940547255.119181,20.5659008012,0.0490170481082672,"index","EBS"
1987,733372302.272186,667604143.238383,805619526.462346,20.4131640466928,0.0479386823085982,"index","EBS"
1988,511911787.128088,465973123.828361,562379382.844403,20.0536628773946,0.0479724943405019,"index","EBS"
1989,330443844.528303,294459243.162413,370825969.712959,19.6159472921639,0.0588256391092533,"index","EBS"
1990,452089303.313616,407767925.186435,501228089.671703,19.9293902919841,0.0526446062689592,"index","EBS"
1991,495911989.174477,444641911.27639,553093837.46805,20.0219090277642,0.0556791891050975,"index","EBS"
1992,544430582.885277,483363260.475526,613213050.758564,20.115251004396,0.0607011069158964,"index","EBS"
1993,774185469.486547,692345095.193934,865699988.812975,20.4673220275082,0.0570045912254245,"index","EBS"
1994,1160335619.24247,1048459295.33428,1284149756.95698,20.8719751271509,0.0517292879899734,"index","EBS"
1995,726650990.174974,657462383.947896,803120717.495095,20.4039568516929,0.0510513166712114,"index","EBS"
1996,598411532.911323,534697900.629322,669717166.085393,20.2097892573521,0.0574381899809628,"index","EBS"
1997,517785009.851526,463107909.431994,578917593.430384,20.0650706751746,0.0569398343194756,"index","EBS"
1998,575057154.843583,500078996.502349,661276985.535712,20.1699799935498,0.0712785325343467,"index","EBS"
1999,530329860.140359,473131706.044263,594442851.670103,20.0890097485371,0.0582283110527148,"index","EBS"
2000,510778095.82725,455175455.895162,573172959.565295,20.0514457991109,0.0588032637762841,"index","EBS"
2001,990969065.566892,885777690.363944,1108652542.95018,20.7141938764356,0.0572547832745828,"index","EBS"
2002,619198101.222787,531421308.600929,721473306.306249,20.2439358137344,0.0779963945606318,"index","EBS"
2003,582368175.981394,493494862.50663,687246652.727492,20.1826134104647,0.0844864524593965,"index","EBS"
2004,475492223.331033,400378412.301174,564697914.52746,19.9798610850968,0.0877263040713628,"index","EBS"
2005,499470822.929948,428525214.947432,582162015.807921,20.0290597417941,0.0781644989637301,"index","EBS"
2006,429255039.747325,388985750.170024,473693159.885521,19.8775617984937,0.0502603773909454,"index","EBS"
2007,610074231.072712,546140803.395029,681491961.606378,20.2290911980111,0.0564825765907078,"index","EBS"
2008,498622136.021632,445729102.955594,557791790.758487,20.0273591244213,0.0572139040999053,"index","EBS"
2009,718511850.925987,652672048.487663,790993395.714335,20.3926927573292,0.0490352985255753,"index","EBS"
2010,764704564.524082,690095756.413754,847379607.205352,20.4550001270356,0.052378107203615,"index","EBS"
2011,818505805.195708,743109975.299313,901551285.015688,20.5229910472313,0.0493052122676883,"index","EBS"
2012,1038447347.80686,916548271.952932,1176558755.45906,20.760992499761,0.0637089288376176,"index","EBS"
2013,705715942.342963,631611143.228367,788515206.890427,20.3747233665377,0.0566025112531851,"index","EBS"
2014,1135917501.35082,1003205227.31824,1286186051.20741,20.8507065325579,0.0633892229981679,"index","EBS"
2015,964599547.370585,859078605.573814,1083081665.34546,20.6872235963585,0.0591095618467949,"index","EBS"
2016,727773521.217997,639091617.240328,828761141.435639,20.4055004605322,0.0662981991147323,"index","EBS"
2017,389409487.732183,347425743.928122,436466645.854585,19.7801420156086,0.0582054072989711,"index","EBS"
2018,294800267.316015,255561501.560068,340063730.566111,19.5018086250498,0.0728763267731683,"index","EBS"
2019,551206860.030707,482571324.073206,629604345.281859,20.1276207232153,0.0678489168842427,"index","EBS"
2021,488295904.023125,428274594.871429,556729006.905815,20.0064321407582,0.0669180746006873,"index","EBS"
2022,459264049.682371,411762719.53092,512245177.443298,19.9451358742587,0.0557041135359221,"index","EBS"
2023,581259486.26033,523355011.94366,645570564.257811,20.1807078351805,0.0535403941763945,"index","EBS"
2024,461164740.986558,415262408.255413,512141032.034837,19.9492658928438,0.0534931795939972,"index","EBS"
2025,559657323.206424,501672584.106031,624344102.791113,20.1428352315466,0.0558056119600073,"index","EBS"
1982,79970466.6842622,33399637.4355004,191477394.149829,18.1971679580327,0.445473673116575,"index","NBS"
1983,129289029.314526,58019783.5390676,288102645.019985,18.677560993387,0.408816893501751,"index","NBS"
1984,50590601.613238,22070741.8929973,115963884.857057,17.7392763781373,0.423228687650244,"index","NBS"
1985,80272318.4097915,45122560.7826901,142803178.523388,18.2009353923341,0.293904621921016,"index","NBS"
1986,46013819.5342214,20630222.7709767,102629603.743617,17.6444523339919,0.409285403676314,"index","NBS"
1987,93179062.5356709,42888426.7059833,202440107.084069,18.3500336035132,0.3958853508963,"index","NBS"
1988,28886630.9367269,20475386.6410351,40753196.0936138,17.1788894487064,0.175592704931778,"index","NBS"
1989,24655910.3774256,11568541.1921639,52548882.9094043,17.020527201616,0.386092398505068,"index","NBS"
1990,29972937.2996854,14364784.923445,62540231.2083781,17.2158054424879,0.375269734683334,"index","NBS"
