"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"13",2012,1,1,0,0,9332,0,0.0104148675817819,0.00565327898931645,0.275220354536478,0.104354126626272,0.0950350590193414,0.00536113885193814,0.00249680586155835,0.000835651538182034,0.000628716995131112,0,0.0121711413846863,0.0132393695724186,0.290619762099306,0.106875633407923,0.0728812272621354,0.00235789022573361,0.00130863499760531,0.000290666682019139,0.000255674368172701
"14",2013,1,1,0,0,11075,0,0.00585502094893561,0.113768376024872,0.0283760184719278,0.308339938677446,0.0362129765998502,0.00598372633715596,0.000773121949824626,0.000335319351877586,0.00035550163811077,0,0.00489749426550423,0.122586248174808,0.029859436909165,0.316877907423364,0.0228828632449764,0.0024318697258404,0.000320669495446118,4.34388465670602e-05,0.000100071914329128
"15",2014,1,1,0,0,12122,0,0.000515482295348522,0.121854986747397,0.169629733830607,0.0555032859903883,0.145915496875377,0.00456774505779087,0.00156173889407433,0.000362377714330162,8.91525946861849e-05,0,0.000483096785421942,0.131649782069388,0.187087809668221,0.0546256473436848,0.123992665141478,0.00170929839075856,0.000391077783720354,5.3912505641007e-05,6.71031168537657e-06
"16",2015,1,1,0,0,11185,0,0.000326160565695672,0.0268841292637771,0.241753620017676,0.191192196542234,0.0197351947753187,0.0184582250167255,0.00103974844880668,0.000499675703366493,0.00011104966639982,0,0.000574651918103957,0.0283319505750906,0.260843411644567,0.18937898154181,0.0135414707020724,0.00703233970986508,0.000166946489317274,9.21298341054718e-05,3.81175850692074e-05
"17",2016,1,1,0,0,9489,0,7.80984705632992e-05,0.0417369178409957,0.0995250825878208,0.287639349605431,0.0605186171506651,0.00507365904577835,0.00499224897079361,0.000373121061717352,6.29052662350586e-05,0,0.000142843227478019,0.0483143051576445,0.11631699413855,0.29664136228212,0.0358485956190675,0.00160016530277861,0.00110868889288358,1.56209517546411e-05,1.14244277233717e-05
"18",2017,1,1,0,0,8306,0,0.000318121606311862,0.0108339461961122,0.217665389434802,0.180794199477474,0.080708815623372,0.00856845479823706,0.000273206459642792,0.000800282492211506,3.75839118362067e-05,1.12309883793573e-05,0.00026461488682226,0.0154646695066387,0.255851998493315,0.171424526103383,0.0536625006281181,0.00311390891096247,3.22330920582222e-05,0.000171931426476623,2.38596384596176e-06
"19",2018,1,1,0,0,6374,0,0.000274999936197489,0.0244885074083024,0.0867498840914047,0.32086268448644,0.0580241249369853,0.00774837643509764,0.00156182913329431,0.000268555366005429,2.10382062725921e-05,0,0.00031440886388562,0.0363351226448985,0.123995648587396,0.308184122673424,0.0291790458650062,0.00161899844025412,0.00032198055244456,5.06723726911301e-05,0
"20",2019,1,1,0,0,4587,0,0.00405143481965353,0.0210180158849439,0.117567088023078,0.259766991809224,0.0790211532090517,0.0152298156970593,0.00279580812459884,0.000503440913727896,4.62515186627143e-05,1.09493025539047e-05,0.00209808418762108,0.0333666648683081,0.166986123733626,0.256590518019943,0.0364141447956436,0.00380235829295587,0.000713671401129211,7.79181340037028e-06,9.69358481925743e-06
"21",2020,1,1,0,0,3500,0,0.00481792657620181,0.0480980428359841,0.0453771139676857,0.173079540746978,0.0603223209880055,0.106631313762069,0.0571273702837112,0.00312868643486211,0.00141768440450306,0,0.00313093322691444,0.0598121891290793,0.054691927388827,0.207700458443179,0.0556547486792614,0.091753998894998,0.0261648497026647,0.000630535763192467,0.00046035877188401
"22",2021,1,1,0,0,2888,0,0.00128808187772223,0.0645937643339756,0.0770617286961107,0.142798238856929,0.105987028698827,0.0481559318984626,0.0527771080118634,0.006869989696279,0.000468127929829619,0,0.00128866693983586,0.0676605642661006,0.0994666377528097,0.180516691271996,0.0903287295177279,0.0327427555221768,0.0257084050699691,0.00217390210338295,0.000113647556001261
"23",2022,1,1,0,0,3854,5.53401834373501e-06,0.00500794844818094,0.0418276549440457,0.252041261223986,0.0644233415462677,0.0717893602941588,0.0452143340639537,0.00729132978432938,0.0119086129755742,0.000490622701160485,0,0.00359136942540734,0.0487635498558043,0.264335496073542,0.0864659271818982,0.070312939822942,0.0223642834823323,0.00162250823182461,0.00249654746880574,4.73784574436242e-05
"24",2023,1,1,0,0,3786,0,0.00476945620383031,0.0781556345853515,0.148725462965212,0.190495514445396,0.030244521170049,0.0159250092029849,0.017200640598737,0.0141778323237383,0.000305928504701133,0,0.00288653472080989,0.0818379909627432,0.176825705942076,0.186103761134259,0.0295756169336574,0.0090267670758477,0.00835212848544796,0.00527355773905653,0.000117937006102998
"25",2024,1,1,0,0,4510,8.40237528970313e-06,0.00405242382186601,0.0988755787862212,0.180326921493631,0.141997468610288,0.0507206512401712,0.0134738270649404,0.00996910823142726,0.000515191708518367,6.04266676465805e-05,0,0.00391769231897744,0.105921334373321,0.215505258823461,0.132504733413386,0.0361954678293383,0.00433272349424537,0.00156876654303285,4.69475868091957e-05,7.07561742985933e-06
"26",2025,1,1,0,0,4539,0,0.00033957241648076,0.023722470163673,0.146234090781704,0.192876986914315,0.084505860097911,0.0302071135328614,0.0137604127593873,0.00725257070795678,0.00110092262571088,0,0.000166882799159734,0.025087076228582,0.177553253797738,0.204156792364756,0.0697465181281248,0.0163573933506228,0.00508228526212373,0.0017416453088473,0.000108152760044831
