"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"11",2010,1,1,3,0,0,1,1.5,6643,0,0.00721746982797096,0.0735888619900013,0.267647667132071,0.082569098253807,0.0411763307097442,0.0112542389529847,0.00954334719588255,0.00266492473467105,0.000938146135759002,0,0.0104647656201317,0.0867047326847363,0.274310213398097,0.0818257146906476,0.0362549614838211,0.00815560142868259,0.00424651688469398,0.00129394558263782,0.000143463293660417
"12",2011,1,1,3,0,0,1,1.5,8712,0,0.00232053383286443,0.133281748017653,0.117233598235215,0.217835375729736,0.0211329668710356,0.00966421160881211,0.00201386846751093,0.00263253523818978,0.000652997125565241,0,0.00297542966232233,0.134303704251875,0.120731437585722,0.214351854405757,0.0127690865784071,0.00648970666488622,0.000604898704087861,0.000835122315525626,0.000170924704835108
"13",2012,1,1,3,0,0,1,1.5,9332,0,0.010650554361106,0.00578932041976963,0.281474130337125,0.106601939151906,0.0972521879614191,0.0054886771930353,0.00255326451257697,0.00085511640536674,0.000642759813719356,0,0.0118947601887812,0.0129384769732946,0.284223330584923,0.104475985109114,0.0710415079218681,0.00230503106828289,0.00127892669437622,0.00028416119049071,0.000249870112844454
"14",2013,1,1,3,0,0,1,1.5,11075,0,0.00600777105723873,0.116736449394862,0.0291163129871142,0.316384138593711,0.0371577274633994,0.00613983420662874,0.000793291725918886,0.000344067410639826,0.000364776227253484,0,0.00476972482010102,0.119388127647403,0.0290804418788271,0.308610962676295,0.0222858782180328,0.00236842531338808,0.000312303632952013,4.23055818741495e-05,9.74611643616741e-05
"15",2014,1,1,3,0,0,1,1.5,12122,0,0.000521791442613567,0.123346407623161,0.171705884613912,0.0561826078762553,0.147701401777148,0.00462365110247723,0.00158085349948595,0.000366812967268836,9.02437608697987e-05,0,0.000477184014430582,0.13003847966389,0.184797984094497,0.0539570671486915,0.122475080558609,0.00168837775902298,0.000386291261754725,5.32526538079063e-05,6.62818210498281e-06
"16",2015,1,1,3,0,0,1,1.5,11185,0,0.000333920737619101,0.0275240706944732,0.247506604009531,0.195682846171917,0.0202075155263737,0.0189165035851891,0.00106460747776119,0.000546678849908834,0.000113691814451851,0,0.000560471897869747,0.0276332023093735,0.254499967684344,0.185064739012748,0.0132224138255442,0.00683290600448753,0.000162826944037829,8.985645282781e-05,3.71770015428459e-05
"17",2016,1,1,3,0,0,1,1.5,9489,0,7.79255034586757e-05,0.0416438582604309,0.0992965919466964,0.286948724454848,0.0601770374545932,0.005060513235956,0.00493504068491208,0.000371985496590179,6.27659479912086e-05,0,0.000143121790500235,0.0484072558578899,0.116550012710204,0.297670807895509,0.0359138671727838,0.00160254248453453,0.00111085098158847,1.56514146586758e-05,1.14467068553256e-05
"18",2017,1,1,3,0,0,1,1.5,8306,0,0.000321881124141141,0.0109619802971528,0.220237729370729,0.182930800710713,0.0816626214174326,0.00866971563039748,0.000276435176384196,0.000809740121741328,3.8028073389018e-05,1.10982620878546e-05,0.000261487704118656,0.0152819101480143,0.252828374410864,0.169398654394343,0.0530283245021577,0.0030771091594296,3.18521657650018e-05,0.00016989956428799,2.35776685009309e-06
"19",2018,1,1,3,0,0,1,1.5,6374,0,0.000279712850214329,0.024908188341367,0.088236592598857,0.326361588464771,0.0590185350285354,0.00788116712739256,0.00158859556282878,0.000273157833795952,2.13987563825385e-05,0,0.000309020564665938,0.0357124159229095,0.121870626893445,0.302902502278894,0.0286789790789672,0.00159125225039015,0.000316462490586989,4.98039559968401e-05,0
"20",2019,1,1,3,0,0,1,1.5,4587,0,0.00406940329971707,0.0211112326874386,0.118088508697803,0.260919081925754,0.0793716191746267,0.0152973613079121,0.0028082077866407,0.000505673719739634,4.64566483335577e-05,1.09007414062108e-05,0.00208877899438089,0.0332186806900698,0.166245525163303,0.255452515852126,0.0362526447681429,0.00378549448982865,0.000710506203880844,7.75725600281222e-06,9.65059289335403e-06
"21",2020,1,1,3,0,0,1,1.5,3500,0,0.00495840607829791,0.0495004695858585,0.0467002047777918,0.178126136481179,0.0620811791780688,0.109740434174808,0.0587930711628312,0.00321991163425706,0.00145902077526839,0,0.00303964251630344,0.05806820519424,0.0530972383443303,0.201644397495436,0.0540319860115269,0.0890786662853722,0.0254019437096997,0.000612150810938401,0.000446935783792144
"22",2021,1,1,3,0,0,1,1.5,2888,0,0.00128948869181443,0.0646643121923884,0.0771458937851275,0.142954199885681,0.106102785350748,0.0482085267255382,0.0528347499836829,0.00687749294470225,0.000468639208638854,0,0.00128725948675196,0.0675866669176926,0.0993580025254107,0.180319534996799,0.0902300745084352,0.0327069946201077,0.0256803269274488,0.00217152781633878,0.000113523432693502
"23",2022,1,1,3,0,0,1,1.5,3854,5.69829532423409e-06,0.00515660907748543,0.0430693062051666,0.259523089939268,0.0663357443186334,0.0739204228618201,0.0465565186780888,0.00750777244251981,0.0122621193899095,0.000505186804657213,0,0.0034847598537693,0.0473160069979465,0.256488713783265,0.0838991916650967,0.0682257047025158,0.0217004011578976,0.00157434417876165,0.00242243761690901,4.59720309654117e-05
"24",2023,1,1,3,0,0,1,1.5,3786,0,0.00474365638665327,0.0777328607936479,0.147920949915906,0.189465051173338,0.0300809169595381,0.0158388647226876,0.0171075957391535,0.0141011389930342,0.000304273620128717,0,0.00290214909378857,0.0822806840318774,0.177782223979046,0.187110467728895,0.0297356027847013,0.00907559631974966,0.00839730835056354,0.00530208443470602,0.000118574972585093
"25",2024,1,1,3,0,0,1,1.5,4510,8.54119104786412e-06,0.00411937397177318,0.100509103588385,0.183306105053148,0.144343410749558,0.0515586078195389,0.0136964283478945,0.0101338080061481,0.000523703197847328,6.14249774569958e-05,0,0.00385296807008954,0.104171406545832,0.21194489346726,0.130315620883356,0.0355974820056298,0.00426114250958111,0.00154284892931764,4.61719650793816e-05,6.95872105661751e-06
