"","YEAR","Seas","FltSvy","Gender","Part","Ageerr","Lgin_lo","Lgin_hi","Nsamp","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"11",2009,7,2,3,0,0,1,120,360,0,0.456897860769076,0.193924889308851,0.232828686329598,0.0616906808545611,0.0247065901932834,0.0138940066499162,0.00807234390355441,0.00437335047913142,0.00172564687278587,0.00188594463924363,0,0.449265651787504,0.181534070179328,0.232475201974045,0.0705509730375562,0.0331557988727247,0.0155968001044391,0.0100124016283199,0.00444999471006216,0.00160887935245377,0.00135022835356671
"12",2010,7,2,3,0,0,1,120,405,0,0.0449388926572824,0.510320986846573,0.149026793023805,0.201047823657695,0.0639470468154243,0.0118211626476041,0.0110249263303097,0.00367660364763102,0.00253696150157464,0.00165880287210017,0,0.0514322249597727,0.448966204638165,0.205962921737645,0.20180898266108,0.0624053132091439,0.0183902018787025,0.00553686165837981,0.00418348860141863,0.000996564351369328,0.000317236304322822
"13",2011,7,2,3,0,0,1,120,368,0,0.308348229631923,0.0707398012627259,0.375004536375895,0.108446789687496,0.0966146802954157,0.0303649980648535,0.00557572308239735,0.00329311160043358,0.000593607022974919,0.00101852297588488,0,0.306355937454761,0.0729592515043754,0.376801119778682,0.113090247971924,0.089237591197558,0.026550853880374,0.00841222873019048,0.00198102236913566,0.00201624872244764,0.00259549839055153
"14",2012,7,2,3,0,0,1,120,356,0,0.3591335973419,0.231595143459022,0.0701291082708535,0.228277881250354,0.0687017408412978,0.0320292157734539,0.00686124958044947,0.00133455090775229,0.00158267491786459,0.000354837657052007,0,0.366508063199073,0.239085314464624,0.0489078360287924,0.246881456157227,0.0566293540853924,0.0284702757604695,0.00805312031310867,0.00304600114231378,0.00140128098005831,0.00101729786894034
"15",2013,7,2,3,0,0,1,120,354,0,0.102721123687845,0.436178509875007,0.180477529608948,0.106716365483289,0.111453703145508,0.0475063859598229,0.010952980729067,0.00295875587120146,0.000588844686335399,0.000445800952976506,0,0.0912188495821592,0.42921824298416,0.182112175549021,0.109279413565446,0.115880525152093,0.0544464793391089,0.0124932539500841,0.00371689117887261,0.00107344496058582,0.000560723738468879
"16",2014,7,2,3,0,0,1,120,373,0,0.283832330032137,0.199423205865258,0.232830999248751,0.195556563981237,0.0395542805039136,0.0367398207393413,0.00896244975690421,0.0018741834608844,0.000574074165625865,0.000652092245946648,0,0.269651089594993,0.183176944494338,0.240529843236244,0.197866417233793,0.0574286171053143,0.0364724890191255,0.0104403061370761,0.00220367647518281,0.000758081671588432,0.00147253503234428
"17",2015,7,2,3,0,0,1,120,354,0,0.0540827382673838,0.449899675891868,0.192552103183285,0.194738428174024,0.077548956094591,0.0169560521683855,0.0114713232811875,0.00246886968131305,0.000149425823154217,0.000132427434808259,0,0.0621275858170933,0.414028804160388,0.214994051204498,0.191209818618024,0.0836464806034442,0.0200843430637457,0.0106636027929479,0.00221059375828217,0.000612692217444797,0.000422027764132216
"18",2016,7,2,3,0,0,1,120,376,0,0.1090708886528,0.102198828219532,0.350298957762377,0.228773114917431,0.150915506687978,0.045139030022121,0.0106413176876259,0.00175843448982757,0.000742428781510466,0.000461492778797186,0,0.10814268770764,0.0871786702890618,0.361898525605696,0.215033340292759,0.148308770046684,0.0589127644987725,0.013052964750744,0.00528587284409389,0.00159659264140686,0.000589811323141749
"19",2017,7,2,3,0,0,1,120,481,0,0.0933771383787691,0.160288978842349,0.155509157903504,0.313096480332033,0.16831431820304,0.0851577620736347,0.0178213944284736,0.00229124626690543,0.0038002730483407,0.000343250522950443,0,0.104680511973098,0.15310953707751,0.152466261696899,0.299027285713175,0.173305571891444,0.0837120867048983,0.0304384828900006,0.00296056693762884,0,0.0002996951153465
"20",2018,7,2,3,0,0,1,120,364,0,0.0842076112962298,0.117496635133774,0.293986376321337,0.179594215514819,0.233813702972924,0.0623620212409221,0.0253158926926177,0.00168803260943988,0.00153551221793748,0,0,0.0774860316985898,0.116361023786914,0.266895970514388,0.145384179852745,0.248061184645133,0.0977052530579556,0.0434651273653139,0.00328715504282193,0.000910478164813453,0.000443595871325152
"21",2019,7,2,3,0,0,1,120,479,0,0.613950622794395,0.0669116252660263,0.0703938825068158,0.0764706001408068,0.0650956109710163,0.0746665439642078,0.0279018203758657,0.0035153822532159,0,0.00109391172765067,0,0.575030588259457,0.0654305910699554,0.0773151582505783,0.0825021379529033,0.0682011059124197,0.0883337610962411,0.0324523091747788,0.00885453944645302,0.00171661897200325,0.000163189865210271
"22",2021,7,2,3,0,0,1,120,476,0.00290370330936641,0.223657606791428,0.148993195369394,0.280927442413348,0.168276799929911,0.0691457133499184,0.0529824375547654,0.0381602564024368,0.0125810659479363,0.00226485863266531,0.000106920298829872,0.00316439429147314,0.200734418963153,0.121840784407111,0.328951580854833,0.165185471639488,0.0636215872555437,0.053000601343972,0.0419006198935539,0.0154042287434697,0.00527969937617404,0.000916613231227116
"23",2022,7,2,3,0,0,1,120,481,6.01413182145132e-05,0.227463573945819,0.221840746993371,0.181264176117091,0.222138745558345,0.0695107512391283,0.0359678791082558,0.0232884950032791,0.0120882755406084,0.00530094638178329,0.00107626879410557,6.41891121833532e-05,0.198352776366102,0.213483868375117,0.175362929938836,0.244139585856829,0.0814531914377651,0.0360186455997289,0.0270992283662951,0.0147328474370322,0.00656368518788769,0.00272905232222384
"24",2023,7,2,3,0,0,1,120,438,0,0.272678902561175,0.292624615901174,0.173151747648855,0.127017959623906,0.095641867810737,0.0190970375950115,0.0120910281541514,0.00709827464999526,0.000188224447032754,0.000410341607960611,0,0.279965376222238,0.289776350309216,0.173338336215987,0.11496778139311,0.0943123405612092,0.025332224074234,0.0107581040621634,0.00676455076953016,0.00288568911587963,0.00189924727643312
"25",2024,7,2,3,0,0,1,120,335,0,0.184024106075681,0.295082699951262,0.276307438500204,0.143706779276532,0.0572337303209007,0.0286877140344742,0.00851270011756275,0.00207618453784124,0.00206392585954961,0.00230472132599222,0,0.179137114559381,0.276886391501639,0.295624486361716,0.128255282754635,0.0649617835337566,0.0357018042689763,0.01256007569541,0.0018861465187406,0.00405928418656399,0.0009276306191821
