"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"15",2005,1,1,0,0,11639,1.9232468493081e-05,0,3.80370704687464e-05,0.000359854723385171,0.000507875458920075,0.00598806498428037,0.0137818002388733,0.0235394482937923,0.0559484030022415,0.0919882672676756,0.130508994820638,0.16830631916563,0.183103885035996,0.144529188863592,0.0832310545140633,0.0485472957555282,0.0260715917438068,0.0145116728098077,0.00630387742792668,0.00210092485307361,0.00050903919323872,7.85041175038269e-05,1.75262780850858e-05,9.14191297919613e-06
"16",2006,1,1,0,0,9075,3.84282161426696e-05,0,1.74023027283284e-05,9.23462888805763e-05,0.000288649978683658,0.00450469100736246,0.014360140587651,0.0217177260337605,0.0528861042846227,0.106157573044907,0.140611379865066,0.145598350155557,0.144141528024541,0.129783065381038,0.0959902047161901,0.067005998288695,0.0404790862437837,0.0209843225604351,0.0101127163499195,0.00367633585836016,0.00120185823428132,0.000286877020748954,6.0939889753375e-05,4.27566689129672e-06
"17",2007,1,1,0,0,7119,3.31578109980367e-05,4.59576740909265e-05,0.000332543055782726,0.000488156773557063,0.00238327325461198,0.0106250248622488,0.0268244877628056,0.0294444928329555,0.0539989304987275,0.0906546801000082,0.139854826090485,0.173922691954959,0.149400390868596,0.108142414676995,0.0759104634104408,0.0568579170249068,0.0383054698150775,0.0242689906429028,0.0121590175762996,0.00454882136012263,0.00150254387992039,0.000245556993649846,3.66817136106903e-05,1.35093662477555e-05
"18",2008,1,1,0,0,8429,0.000318472186041205,2.82645866090731e-06,0.000754251763397818,0.00120819355103112,0.0132047626245582,0.0266878290871233,0.0696653773164683,0.0574002821879851,0.0574461982343244,0.0908663156459186,0.132401990058282,0.144519503698292,0.145361418873151,0.108486497026338,0.0613090693832301,0.0346380946591412,0.0225932583971111,0.0170094849452601,0.0102863370362957,0.00453051188724563,0.00106665226485914,0.00019647116682956,1.29306179296445e-05,3.32709305261838e-05
"19",2009,1,1,0,0,7465,0,0,0.000100036741188874,5.4947760937165e-05,0.00105773949019845,0.0086623533831652,0.0193763389294467,0.0782510474532291,0.154469836567382,0.183310887109718,0.127315893143319,0.116776927556387,0.117875875930115,0.0930723799971381,0.0490011900715067,0.0241289289614098,0.0120416810642748,0.00722331116676404,0.00438881600862072,0.002115430296311,0.000617517892976051,0.000155768766398737,3.09170951392812e-06,0
"20",2010,1,1,0,0,6652,0,0,0,0.000163072412029818,0.019831954450563,0.0143138472105833,0.0341480352066373,0.0596809067440471,0.0757782798571291,0.140151614781823,0.184759690998084,0.182236269181898,0.132666280486045,0.0776317148819143,0.0417927933303504,0.0208660296181054,0.00874304703128502,0.0037834330633877,0.00188926351655714,0.00105890885095201,0.000317584070236787,0.000173053352208068,1.04190719853313e-05,3.80188417861876e-06
"21",2011,1,1,0,0,8739,3.61154189161997e-06,0,0,6.64939971002553e-05,0.00318558833186764,0.00538707275718498,0.0144653642394621,0.0635202002434461,0.153644307606499,0.147391809284436,0.130284971558098,0.17398578999802,0.157390228670282,0.085191374020433,0.0353892386700941,0.0171001971783526,0.00750567730755767,0.00320015913253509,0.0014643807563159,0.000579909361852093,0.000186666627186502,5.30743419085243e-05,0,3.88437547675009e-06
"22",2012,1,1,0,0,9342,0,0,0,3.73372033102423e-05,0.00232942794309326,0.00876819600402761,0.0259904834058785,0.034617840575204,0.0650107522880078,0.173310201633088,0.202183058576203,0.17505204589079,0.145089870044753,0.097194471580437,0.0428758138760373,0.0170082503704053,0.00652448113159482,0.00243410202912347,0.00101311857948092,0.000312427083521713,0.000233337735772825,1.47840492711234e-05,0,0
"23",2013,1,1,0,0,11094,2.48835503836714e-05,0,5.21960768118613e-05,0.000795093878946017,0.00591979755528836,0.0238882883401235,0.0285943690999517,0.0462992253458668,0.077940337958152,0.116532202563546,0.153697723789584,0.200394601771191,0.175862998605618,0.101052728297181,0.044273013688543,0.0160083476358984,0.005446612489416,0.00206571252331077,0.000702163311311872,0.000315111618407912,0.00011175874676144,1.70306405282321e-05,3.14435977149434e-06,2.65815340764819e-06
"24",2014,1,1,0,0,12129,0,1.25165176305131e-05,0.000286497240785128,5.43658465043487e-05,0.00171610004856015,0.0110047887722144,0.0160515495597534,0.0723186469739333,0.0947240153972912,0.116805007181847,0.140190493182258,0.165463778465694,0.158171760695863,0.124541080735462,0.0625965727141193,0.0240406337221269,0.00751440712256554,0.00289991321410165,0.00114469677796773,0.000360920807691902,8.16256539184577e-05,4.84506972246328e-06,3.48948389693975e-06,1.22948160925019e-05
"25",2015,1,1,0,0,11200,6.2401181927129e-06,1.3506914669919e-05,0,0.000251429461110577,0.000500679724544587,0.00697802929929237,0.0140358504872462,0.0206236653878655,0.0606380142474635,0.120072208095512,0.194151851839519,0.192484905238978,0.167130458266466,0.113858509312421,0.0613498389347587,0.0294585422525223,0.0127495957203041,0.00395145123408631,0.00119779398063403,0.000434157610509968,9.5546647378635e-05,5.59835864261343e-06,0,1.21268678816973e-05
