"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"11",1992,7,2,0,0,332,0,0.0491882550377105,0.101653062918385,0.0955425442088946,0.122446642219132,0.175321205620922,0.0950391719862057,0.0988216948731159,0.0950248312586316,0.0566290827869059,0.0251348651706212,0.0231658220789213,0.0183194412477477,0.0108600979153715,0.0101967629846081,0.00891797754268631,0.00519716041012043,0.00371341878446531,0.00292094102507005,0.00153033356276069,0.000276699247462093,4.72613196202266e-05,5.27278006426379e-05,0
"12",1993,7,2,0,0,363,0.000307957460687709,0.0979254998891159,0.167232417927969,0.103431320747399,0.0349030854293094,0.117034364176109,0.101734760224672,0.0932314489663453,0.104604409954636,0.0642910144098843,0.0387719784801657,0.0257230464892057,0.0219373080183874,0.0083435505520633,0.00602282827147912,0.0047537026315276,0.00353286693690676,0.00200743317271484,0.00228535033676781,0.00136815875002398,0.000360631831119724,5.74619469750263e-05,0.000139403396535089,0
"13",1994,7,2,0,0,364,0.000236469313554245,0.0114229438664012,0.0387915888387653,0.0406590629658581,0.094523950890874,0.241900129194414,0.140278591383784,0.0552723165981171,0.0868433602065123,0.0685789179097184,0.0755161251727307,0.0653337861379864,0.0401937194136859,0.0205167937338756,0.00663565760856485,0.0032983949718399,0.00240768839319976,0.00431449174220083,0.00112864422798031,0.00154268929979302,0.000550766828716735,5.39113014267506e-05,0,0
"14",1995,7,2,0,0,347,0.000382991284791771,0.0108825407618642,0.0298802947341273,0.0198081494270565,0.0647912734948055,0.121290937573335,0.127660898069334,0.215080251275139,0.147188645411579,0.066792267586298,0.0470468468668917,0.0524859712415563,0.0352934086208474,0.0274740504456473,0.0143203968914239,0.00904105357081086,0.00433279845963553,0.00289911279942689,0.00201247771732892,0.00101407650380382,0.000242063210617231,7.94940536796367e-05,0,0
"15",1996,7,2,0,0,359,0.000104020840413166,0.00838238444492105,0.0321619491084581,0.0210239892521403,0.0468802609446044,0.126453550167796,0.0941074344467146,0.113939973586289,0.156866051632135,0.149942682888289,0.0977996997367333,0.0537437055623905,0.0313164404112516,0.0260837296820493,0.0160007078997336,0.0118364168864807,0.00772082673247649,0.00272938316045937,0.00180088305669541,0.0007811560322726,0.000324753527696514,0,0,0
"16",1997,7,2,0,0,369,0.000922645610418954,0.0606676722473478,0.120734028363953,0.0849909602981665,0.0320137748889873,0.100990400508357,0.0837125671707302,0.0715253606448216,0.0993141963187561,0.0883884700376158,0.0918308772571053,0.0645897035789323,0.0486346633810746,0.0241447348615163,0.0118594772464978,0.00663269719296792,0.00440010493469658,0.00281121550244428,0.00111842565790991,0.00042959394781439,0.000195352918454861,9.30774314318341e-05,0,0
"17",1998,7,2,0,0,362,0.000132550103559359,0.0293430104408388,0.0415518153094354,0.0115762708900756,0.14665140007917,0.30051538722386,0.119142246184979,0.0634431071831847,0.0697159499739487,0.0480214987537704,0.0397209441687907,0.0407321968495531,0.0347443213977071,0.0257828748423713,0.0137107631093682,0.00671307431743172,0.00340248789333255,0.00304637078172203,0.000882562933113304,0.00101943394313861,0.000100757692966774,5.09759276839556e-05,0,0
"18",1999,7,2,0,0,336,6.34206422656729e-05,0.0325850867407451,0.0290291924972103,0.024972042176714,0.088756869004675,0.110504246686778,0.113422204907885,0.222618939982516,0.155946565516199,0.0650981111782158,0.0417379403796047,0.0376024141869905,0.0280323096352499,0.0208627714747978,0.0108179813367745,0.00724214807907754,0.00504439515227824,0.00305673073567582,0.00191841579007866,0.00052452633707327,0.000163687559195463,0,0,0
"19",2000,7,2,0,0,355,0.00298049227939993,0.0848084790759047,0.136996748415181,0.013200134077142,0.0479615976198924,0.0960295708185448,0.0771948665899472,0.117628811974072,0.137301311095322,0.113269282615132,0.0713724647452551,0.0424715722628703,0.0210611929035994,0.0147872581226411,0.00781021339284809,0.00630938920321549,0.00447976823650601,0.00255511718823876,0.00152490541271397,0.000256823971574976,0,0,0,0
"20",2001,7,2,0,0,366,0.000555379871630344,0.0370837623882829,0.164801700538451,0.0914479286402089,0.0600986395852397,0.189232330343426,0.137932596534646,0.0451936049640373,0.0602032153822642,0.0647321937486744,0.054775008902713,0.0414904980838569,0.0258324339591725,0.0129041774486358,0.00616111437504896,0.00358759012946104,0.00170339490678803,0.00110094698848243,0.000694153489971739,0.000238023183128747,0.000231306535879749,0,0,0
